Couple,File_1,File_2,Kappa
Mario-Axel,Axel/mistral/sheet_30_annotations_FELTEN.csv,Mario/mistral/sheet_30_annotations_JAKIMOSKI.csv,0.148
Hao-Axel,Axel/mistral/sheet_30_annotations_FELTEN.csv,Hao/mistral/sheet_30_annotations_Hao_mistral.csv,0.644
Jinane-Axel,Axel/mistral/sheet_30_annotations_FELTEN.csv,Jinane/mistral/sheet_30_annotations_HARCHAL.csv,0.787
Mario-Jinane,Mario/mistral/sheet_30_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_30_annotations_HARCHAL.csv,0.198
Hao-Jinane,Hao/mistral/sheet_30_annotations_Hao_mistral.csv,Jinane/mistral/sheet_30_annotations_HARCHAL.csv,0.789
Mario-Hao,Mario/mistral/sheet_30_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_30_annotations_Hao_mistral.csv,0.164
Mario-Axel,Axel/mistral/sheet_38_annotations_FELTEN.csv,Mario/mistral/sheet_38_annotations_JAKIMOSKI.csv,0.241
Hao-Axel,Axel/mistral/sheet_38_annotations_FELTEN.csv,Hao/mistral/sheet_38_annotations_Hao_mistral.csv,0.255
Jinane-Axel,Axel/mistral/sheet_38_annotations_FELTEN.csv,Jinane/mistral/sheet_38_annotations_HARCHAL.csv,0.078
Mario-Jinane,Mario/mistral/sheet_38_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_38_annotations_HARCHAL.csv,0.056
Hao-Jinane,Hao/mistral/sheet_38_annotations_Hao_mistral.csv,Jinane/mistral/sheet_38_annotations_HARCHAL.csv,0.092
Mario-Hao,Mario/mistral/sheet_38_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_38_annotations_Hao_mistral.csv,0.056
Mario-Axel,Axel/mistral/sheet_39_annotations_FELTEN.csv,Mario/mistral/sheet_39_annotations_JAKIMOSKI.csv,0.141
Hao-Axel,Axel/mistral/sheet_39_annotations_FELTEN.csv,Hao/mistral/sheet_39_annotations_Hao_mistral.csv,0.211
Jinane-Axel,Axel/mistral/sheet_39_annotations_FELTEN.csv,Jinane/mistral/sheet_39_annotations_HARCHAL.csv,0.192
