Couple,File_1,File_2,Kappa
Mario-Hao,Mario/llama/sheet_38_annotations_JAKIMOSKI.csv,Hao/llama/sheet_38_annotations_Hao_llama.csv,0.118
Mario-Axel,Axel/llama/sheet_39_annotations_FELTEN.csv,Mario/llama/sheet_39_annotations_JAKIMOSKI.csv,0.053
Hao-Axel,Axel/llama/sheet_39_annotations_FELTEN.csv,Hao/llama/sheet_39_annotations_Hao_llama.csv,0.166
Jinane-Axel,Axel/llama/sheet_39_annotations_FELTEN.csv,Jinane/llama/sheet_39_annotations_HARCHAL.csv,0.249
Mario-Jinane,Mario/llama/sheet_39_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_39_annotations_HARCHAL.csv,0.259
Hao-Jinane,Hao/llama/sheet_39_annotations_Hao_llama.csv,Jinane/llama/sheet_39_annotations_HARCHAL.csv,0.240
Mario-Hao,Mario/llama/sheet_39_annotations_JAKIMOSKI.csv,Hao/llama/sheet_39_annotations_Hao_llama.csv,0.179
Mario-Axel,Axel/llama/sheet_50_annotations_FELTEN.csv,Mario/llama/sheet_50_annotations_JAKIMOSKI.csv,0.016
Hao-Axel,Axel/llama/sheet_50_annotations_FELTEN.csv,Hao/llama/sheet_50_annotations_Hao_llama.csv,0.247
Jinane-Axel,Axel/llama/sheet_50_annotations_FELTEN.csv,Jinane/llama/sheet_50_annotations_HARCHAL.csv,0.171
Mario-Jinane,Mario/llama/sheet_50_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_50_annotations_HARCHAL.csv,0.062
Hao-Jinane,Hao/llama/sheet_50_annotations_Hao_llama.csv,Jinane/llama/sheet_50_annotations_HARCHAL.csv,0.133
Mario-Hao,Mario/llama/sheet_50_annotations_JAKIMOSKI.csv,Hao/llama/sheet_50_annotations_Hao_llama.csv,0.142
Mario-Axel,Axel/llama/sheet_7_annotations_FELTEN.csv,Mario/llama/sheet_7_annotations_JAKIMOSKI.csv,0.417
Hao-Axel,Axel/llama/sheet_7_annotations_FELTEN.csv,Hao/llama/sheet_7_annotations_Hao_llama.csv,0.279
Jinane-Axel,Axel/llama/sheet_7_annotations_FELTEN.csv,Jinane/llama/sheet_7_annotations_HARCHAL.csv,0.179
Mario-Jinane,Mario/llama/sheet_7_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_7_annotations_HARCHAL.csv,0.273
Hao-Jinane,Hao/llama/sheet_7_annotations_Hao_llama.csv,Jinane/llama/sheet_7_annotations_HARCHAL.csv,0.244
Mario-Hao,Mario/llama/sheet_7_annotations_JAKIMOSKI.csv,Hao/llama/sheet_7_annotations_Hao_llama.csv,0.353
Mario-Axel,Axel/mistral/sheet_10_annotations_FELTEN.csv,Mario/mistral/sheet_10_annotations_JAKIMOSKI.csv,0.171
Hao-Axel,Axel/mistral/sheet_10_annotations_FELTEN.csv,Hao/mistral/sheet_10_annotations_Hao_mistral.csv,0.141
Jinane-Axel,Axel/mistral/sheet_10_annotations_FELTEN.csv,Jinane/mistral/sheet_10_annotations_HARCHAL.csv,0.186
Mario-Jinane,Mario/mistral/sheet_10_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_10_annotations_HARCHAL.csv,0.196
Hao-Jinane,Hao/mistral/sheet_10_annotations_Hao_mistral.csv,Jinane/mistral/sheet_10_annotations_HARCHAL.csv,0.207
Mario-Hao,Mario/mistral/sheet_10_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_10_annotations_Hao_mistral.csv,0.034
Mario-Axel,Axel/mistral/sheet_13_annotations_FELTEN.csv,Mario/mistral/sheet_13_annotations_JAKIMOSKI.csv,-0.043
Hao-Axel,Axel/mistral/sheet_13_annotations_FELTEN.csv,Hao/mistral/sheet_13_annotations_Hao_mistral.csv,0.065
Jinane-Axel,Axel/mistral/sheet_13_annotations_FELTEN.csv,Jinane/mistral/sheet_13_annotations_HARCHAL.csv,0.088
Mario-Jinane,Mario/mistral/sheet_13_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_13_annotations_HARCHAL.csv,-0.004
Hao-Jinane,Hao/mistral/sheet_13_annotations_Hao_mistral.csv,Jinane/mistral/sheet_13_annotations_HARCHAL.csv,0.016
Mario-Hao,Mario/mistral/sheet_13_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_13_annotations_Hao_mistral.csv,-0.007
Mario-Axel,Axel/mistral/sheet_19_annotations_FELTEN.csv,Mario/mistral/sheet_19_annotations_JAKIMOSKI.csv,0.067
Hao-Axel,Axel/mistral/sheet_19_annotations_FELTEN.csv,Hao/mistral/sheet_19_annotations_Hao_mistral.csv,0.090
Jinane-Axel,Axel/mistral/sheet_19_annotations_FELTEN.csv,Jinane/mistral/sheet_19_annotations_HARCHAL.csv,0.167
Mario-Jinane,Mario/mistral/sheet_19_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_19_annotations_HARCHAL.csv,0.152
Hao-Jinane,Hao/mistral/sheet_19_annotations_Hao_mistral.csv,Jinane/mistral/sheet_19_annotations_HARCHAL.csv,0.028
Mario-Hao,Mario/mistral/sheet_19_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_19_annotations_Hao_mistral.csv,-0.005
Mario-Axel,Axel/mistral/sheet_30_annotations_FELTEN.csv,Mario/mistral/sheet_30_annotations_JAKIMOSKI.csv,0.095
Hao-Axel,Axel/mistral/sheet_30_annotations_FELTEN.csv,Hao/mistral/sheet_30_annotations_Hao_mistral.csv,0.088
Jinane-Axel,Axel/mistral/sheet_30_annotations_FELTEN.csv,Jinane/mistral/sheet_30_annotations_HARCHAL.csv,0.236
Mario-Jinane,Mario/mistral/sheet_30_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_30_annotations_HARCHAL.csv,0.113
Hao-Jinane,Hao/mistral/sheet_30_annotations_Hao_mistral.csv,Jinane/mistral/sheet_30_annotations_HARCHAL.csv,0.221
Mario-Hao,Mario/mistral/sheet_30_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_30_annotations_Hao_mistral.csv,0.065
Mario-Axel,Axel/mistral/sheet_38_annotations_FELTEN.csv,Mario/mistral/sheet_38_annotations_JAKIMOSKI.csv,0.090
Hao-Axel,Axel/mistral/sheet_38_annotations_FELTEN.csv,Hao/mistral/sheet_38_annotations_Hao_mistral.csv,0.084
Jinane-Axel,Axel/mistral/sheet_38_annotations_FELTEN.csv,Jinane/mistral/sheet_38_annotations_HARCHAL.csv,0.081
Mario-Jinane,Mario/mistral/sheet_38_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_38_annotations_HARCHAL.csv,0.096
Hao-Jinane,Hao/mistral/sheet_38_annotations_Hao_mistral.csv,Jinane/mistral/sheet_38_annotations_HARCHAL.csv,0.129
Mario-Hao,Mario/mistral/sheet_38_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_38_annotations_Hao_mistral.csv,0.044
Mario-Axel,Axel/mistral/sheet_39_annotations_FELTEN.csv,Mario/mistral/sheet_39_annotations_JAKIMOSKI.csv,0.060
Hao-Axel,Axel/mistral/sheet_39_annotations_FELTEN.csv,Hao/mistral/sheet_39_annotations_Hao_mistral.csv,0.102
Jinane-Axel,Axel/mistral/sheet_39_annotations_FELTEN.csv,Jinane/mistral/sheet_39_annotations_HARCHAL.csv,0.170
Mario-Jinane,Mario/mistral/sheet_39_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_39_annotations_HARCHAL.csv,0.100
Hao-Jinane,Hao/mistral/sheet_39_annotations_Hao_mistral.csv,Jinane/mistral/sheet_39_annotations_HARCHAL.csv,0.102
Mario-Hao,Mario/mistral/sheet_39_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_39_annotations_Hao_mistral.csv,0.182
Mario-Axel,Axel/mistral/sheet_50_annotations_FELTEN.csv,Mario/mistral/sheet_50_annotations_JAKIMOSKI.csv,0.239
Hao-Axel,Axel/mistral/sheet_50_annotations_FELTEN.csv,Hao/mistral/sheet_50_annotations_Hao_mistral.csv,0.261
Jinane-Axel,Axel/mistral/sheet_50_annotations_FELTEN.csv,Jinane/mistral/sheet_50_annotations_HARCHAL.csv,0.179
Mario-Jinane,Mario/mistral/sheet_50_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_50_annotations_HARCHAL.csv,0.180
Hao-Jinane,Hao/mistral/sheet_50_annotations_Hao_mistral.csv,Jinane/mistral/sheet_50_annotations_HARCHAL.csv,0.176
Mario-Hao,Mario/mistral/sheet_50_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_50_annotations_Hao_mistral.csv,0.359
Mario-Axel,Axel/mistral/sheet_7_annotations_FELTEN.csv,Mario/mistral/sheet_7_annotations_JAKIMOSKI.csv,0.308
Hao-Axel,Axel/mistral/sheet_7_annotations_FELTEN.csv,Hao/mistral/sheet_7_annotations_Hao_mistral.csv,0.215
Jinane-Axel,Axel/mistral/sheet_7_annotations_FELTEN.csv,Jinane/mistral/sheet_7_annotations_HARCHAL.csv,0.327
Mario-Jinane,Mario/mistral/sheet_7_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_7_annotations_HARCHAL.csv,0.350
Hao-Jinane,Hao/mistral/sheet_7_annotations_Hao_mistral.csv,Jinane/mistral/sheet_7_annotations_HARCHAL.csv,0.260
Mario-Hao,Mario/mistral/sheet_7_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_7_annotations_Hao_mistral.csv,0.233
Mario-Axel,Axel/nemotron/sheet_10_annotations_FELTEN.csv,Mario/nemotron/sheet_10_annotations_JAKIMOSKI.csv,0.168
Hao-Axel,Axel/nemotron/sheet_10_annotations_FELTEN.csv,Hao/nemotron/sheet_10_annotations_Hao_nemotron.csv,0.099
Jinane-Axel,Axel/nemotron/sheet_10_annotations_FELTEN.csv,Jinane/nemotron/sheet_10_annotations_HARCHAL.csv,0.177
Mario-Jinane,Mario/nemotron/sheet_10_annotations_JAKIMOSKI.csv,Jinane/nemotron/sheet_10_annotations_HARCHAL.csv,0.163
